user_id,first_approved_day,s2_approved_contracts,s2_total_usdt,s1_usdt_requests,is_completely_new,수집시각(KST)
f2c3984f-8721-4ba9-9c0f-99d9bab19e7b,2026-06-28,13,6360,169,0,2026-07-08 05:04:24
f53511d1-3805-4fea-a9e0-740e15089cdc,2026-06-28,4,3220,23,0,2026-07-08 05:04:24
f7e9e76c-e9a4-4923-a6a0-48dde4fe1326,2026-06-28,5,5080,273,0,2026-07-08 05:04:24
faec906c-a099-41be-8bba-24cd9f89aaa5,2026-06-28,18,22180,376,0,2026-07-08 05:04:24
fee46882-00c2-4b10-9655-e1656c7a77ad,2026-06-28,4,4040,266,0,2026-07-08 05:04:24
00da7303-d822-4573-9040-4e6cb77859ba,2026-06-29,2,2040,12,0,2026-07-08 05:04:24
00e2c754-a24b-4458-a13b-e27330d8bfb6,2026-06-29,3,2240,35,0,2026-07-08 05:04:24
057eeee0-cba5-4e7f-a6af-6b42f24f5d2a,2026-06-29,2,2040,51,0,2026-07-08 05:04:24
0d827ec2-5944-4f65-aa2a-d7e5e0d5cf35,2026-06-29,5,3340,68,0,2026-07-08 05:04:24
10b23ec4-ec90-412f-807c-8de5de4810aa,2026-06-29,7,4760,170,0,2026-07-08 05:04:24
1404e465-95fb-4df7-81d6-ef92995c1aca,2026-06-29,3,6060,31,0,2026-07-08 05:04:24
1be6a960-2a05-4b05-af35-c02cba6a322d,2026-06-29,4,3240,95,0,2026-07-08 05:04:24
1e15987c-5a4d-4e25-a107-d267f532eb19,2026-06-29,7,8380,351,0,2026-07-08 05:04:24
20b5ab44-4c4e-4be9-85a9-1237af23455f,2026-06-29,2,2840,36,0,2026-07-08 05:04:24
213c21eb-4b56-49e4-bbf6-0f267bfdaa04,2026-06-29,4,4040,208,0,2026-07-08 05:04:24
23b69628-3e1d-40fa-a1dd-fcdcc35ac9b2,2026-06-29,2,2040,199,0,2026-07-08 05:04:24
23f693cf-9a72-432a-b83b-7f3f2d137eb1,2026-06-29,5,3740,74,0,2026-07-08 05:04:24
25b9813e-3518-4ba6-b21d-3c54fadb2750,2026-06-29,4,6240,28,0,2026-07-08 05:04:24
29e6fa94-2cd1-4939-8bd7-0b303ef3cccc,2026-06-29,6,16840,2,0,2026-07-08 05:04:24
2af4bdab-b200-463d-85ae-734a551d0282,2026-06-29,2,3040,68,0,2026-07-08 05:04:24
3024a672-1fd2-4144-8c34-c861aad03093,2026-06-29,3,2540,39,0,2026-07-08 05:04:24
30d51e07-a8b5-4cef-938d-a50e7620d9c0,2026-06-29,3,3040,374,0,2026-07-08 05:04:24
32f676a0-1a98-40f5-869b-5d0994278129,2026-06-29,9,8180,64,0,2026-07-08 05:04:24
33ad6922-6a4c-4026-8af6-b0398207301b,2026-06-29,2,2040,309,0,2026-07-08 05:04:24
34cc8a9b-40cb-4c73-a05d-3aa9fee8ede7,2026-06-29,3,2740,100,0,2026-07-08 05:04:24
3a4f2d52-24ec-42e1-adff-43ec50bfb524,2026-06-29,3,2540,49,0,2026-07-08 05:04:24
3c0357ae-6c72-43e8-ac92-c4687713862c,2026-06-29,2,2040,143,0,2026-07-08 05:04:24
40dbce94-0aed-4032-b893-93301421d68b,2026-06-29,3,3040,57,0,2026-07-08 05:04:24
41ae838b-49af-4b95-b9da-e0a513ffcb84,2026-06-29,3,2540,41,0,2026-07-08 05:04:24
4621c6e4-5949-457f-a1c0-66f6225e4591,2026-06-29,2,2040,194,0,2026-07-08 05:04:24
49c8a3dc-4b67-4328-8fa7-35f15545923d,2026-06-29,4,2640,188,0,2026-07-08 05:04:24
5018a239-3f97-4ebc-9f74-ec498c7fd3be,2026-06-29,2,2040,55,0,2026-07-08 05:04:24
51834806-a5f1-4a96-abb2-4cb559d070b4,2026-06-29,1,2000,1,0,2026-07-08 05:04:24
51b3b2c3-2a8f-43b1-a5de-735d47703021,2026-06-29,2,2040,10,0,2026-07-08 05:04:24
51b84c7b-2f22-44b8-95eb-8a7cfb203d83,2026-06-29,2,2040,106,0,2026-07-08 05:04:24
54bc9dbe-03f4-4959-acaf-627dabb80c6d,2026-06-29,7,4540,100,0,2026-07-08 05:04:24
562deabf-59fa-4f3b-875d-16ed4f242f2c,2026-06-29,3,2540,47,0,2026-07-08 05:04:24
5682cc63-05ff-49f2-9591-b6cfa7eeb1df,2026-06-29,3,2540,3,0,2026-07-08 05:04:24
5785da46-ed33-4c7e-b667-3ed5941c7dcc,2026-06-29,6,7500,89,0,2026-07-08 05:04:24
5de87d8c-2f50-4e79-beda-03c37c815919,2026-06-29,8,4060,76,0,2026-07-08 05:04:24
6065da15-39e6-4990-91ee-66eded8c820d,2026-06-29,4,3440,154,0,2026-07-08 05:04:24
6496aad9-387c-4f94-8132-2c4d356615f0,2026-06-29,15,11480,186,0,2026-07-08 05:04:24
66a28166-2984-4d1e-a1ff-cd4679574e5f,2026-06-29,1,2000,38,0,2026-07-08 05:04:24
689805f4-baca-4430-95e6-fadc7c54f786,2026-06-29,4,10520,63,0,2026-07-08 05:04:24
69229222-c676-46b1-9ec8-7acb53555247,2026-06-29,2,2040,89,0,2026-07-08 05:04:24
70aca799-e532-41b9-8e77-1eaf93eb64ce,2026-06-29,5,4160,175,0,2026-07-08 05:04:24
76242bc1-059d-4d0c-85e5-671dde89bd57,2026-06-29,3,2240,19,0,2026-07-08 05:04:24
7992ea3b-593b-41ba-adbc-ada9458a35c2,2026-06-29,4,4040,186,0,2026-07-08 05:04:24
799f2c71-790e-4435-af23-6c768dcdaccf,2026-06-29,2,2040,9,0,2026-07-08 05:04:24
8283c3ac-68ec-455f-97b5-2df1af31dd5f,2026-06-29,2,2040,93,0,2026-07-08 05:04:24
8348cb77-36d6-47ca-a724-343db67f522a,2026-06-29,2,2040,87,0,2026-07-08 05:04:24
878dfc3a-db34-4a16-a235-37ce4d131290,2026-06-29,2,2040,79,0,2026-07-08 05:04:24
88043695-b3d1-4e59-b041-28c3e73f3649,2026-06-29,5,5040,127,0,2026-07-08 05:04:24
88a0ad6a-20c6-4169-8f5a-fc97502b0dc8,2026-06-29,4,2740,43,0,2026-07-08 05:04:24
8bdc79fa-8718-4ac1-80a4-c346b8c0b14a,2026-06-29,3,2140,20,0,2026-07-08 05:04:24
8f6ad250-f86d-4c65-bb36-38092e05e376,2026-06-29,3,2200,67,0,2026-07-08 05:04:24
90a4fb6d-ec2d-4330-b353-9407b7b913f2,2026-06-29,5,4540,51,0,2026-07-08 05:04:24
917a802d-1ad9-4df0-838c-bb06e334aac5,2026-06-29,3,3140,84,0,2026-07-08 05:04:24
91d167f4-c252-4c81-8b67-68df98fb180e,2026-06-29,2,2040,25,0,2026-07-08 05:04:24
92edf341-11cf-4901-a4b4-0d363f7728ab,2026-06-29,2,2040,82,0,2026-07-08 05:04:24
9bb3188f-2b7d-4d09-8113-2c8ebf12c08f,2026-06-29,2,2040,15,0,2026-07-08 05:04:24
9d95a727-a96d-46fe-9ddb-5b49cd07c8d8,2026-06-29,2,2040,228,0,2026-07-08 05:04:24
ad3f0062-82cc-4682-8d43-43b49711da0a,2026-06-29,2,2040,51,0,2026-07-08 05:04:24
adee86c6-f36f-4380-872e-c5716bc02d57,2026-06-29,1,2000,9,0,2026-07-08 05:04:24
af9cdb49-523f-4933-ab81-dc48019394a2,2026-06-29,3,2540,310,0,2026-07-08 05:04:24
b083dcec-ed4b-4c9c-8c10-ccfb0603e491,2026-06-29,4,5260,35,0,2026-07-08 05:04:24
b29100b0-ff4c-49dc-9455-9c0a437559a9,2026-06-29,2,2040,32,0,2026-07-08 05:04:24
b4afa296-4e96-4804-80c9-2a2a4bdb26f9,2026-06-29,2,2040,209,0,2026-07-08 05:04:24
b685288b-72ab-4a07-ae3d-252adf31af46,2026-06-29,3,2140,87,0,2026-07-08 05:04:24
b6d173a2-de5d-4985-8d35-41058ae08f0e,2026-06-29,4,22360,42,0,2026-07-08 05:04:24
b7db503f-ecb7-48ec-82a4-f73756075097,2026-06-29,7,4360,287,0,2026-07-08 05:04:24
b827d5bc-eb88-450d-a579-02a3b107c83d,2026-06-29,3,14660,101,0,2026-07-08 05:04:24
b84a7069-9de5-482f-9dc2-da8c8c7cf2d0,2026-06-29,4,16840,22,0,2026-07-08 05:04:24
ba4dbda3-073c-4072-b3e3-db0d29aae6b2,2026-06-29,4,3140,29,0,2026-07-08 05:04:24
